instance_id,n,redundancy_mult,curvature,curvature_bound,min_ratio,mean_ratio
n10_mult0.1000_s1024,10,0.1,0.5071532447644116,0.7843635544840581,0.9999999999999998,1.0
n10_mult0.2000_s1025,10,0.2,0.8547450113999926,0.6722570416458021,0.9999999999999998,0.9999999999999999
n10_mult0.2000_s1026,10,0.2,0.8152424784689903,0.6838063580547958,0.9999999999999999,1.0
n10_mult0.2000_s1027,10,0.2,0.8480079422622062,0.6742068743910287,1.0,1.0
n10_mult0.2000_s1028,10,0.2,0.6196422990608441,0.7453705233740731,1.0,1.0
n10_mult0.2000_s1029,10,0.2,0.8695775449008425,0.6679926690267345,0.9999999999999998,0.9999999999999999
n10_mult0.2000_s1030,10,0.2,0.8083377312173897,0.6858542212587829,1.0,1.0
n10_mult0.4000_s1031,10,0.4,0.8863078189581785,0.6632292040869837,1.0,1.0
n10_mult0.4000_s1032,10,0.4,0.9015528449821251,0.6589310801792352,1.0,1.0
n10_mult0.4000_s1033,10,0.4,0.8242897508826225,0.681136263500102,1.0,1.0
n10_mult0.4000_s1034,10,0.4,0.8010892711291218,0.6880134715869651,1.0,1.0000000000000002
n10_mult0.4000_s1035,10,0.4,0.6577778995602241,0.7327684515866711,1.0,1.0
n10_mult0.4000_s1036,10,0.4,0.7504191813625752,0.7033820911415268,0.9999999999999999,1.0
n10_mult0.7000_s1037,10,0.7,0.8546443381337436,0.6722861187585837,0.9385847101603316,0.9690869288434789
n10_mult0.7000_s1038,10,0.7,0.8369650865395566,0.6774204700051294,1.0,1.0
n10_mult0.7000_s1039,10,0.7,0.8078455638615067,0.686000526717454,0.9810897310602372,0.9885629161069467
n10_mult0.7000_s1040,10,0.7,0.7187210570818984,0.713245858569727,0.9759561332966709,0.9876337648192739
n10_mult0.7000_s1041,10,0.7,0.8557521486174526,0.6719662530136755,1.0,1.0
n10_mult0.7000_s1042,10,0.7,0.8810763493304584,0.6647134495099583,0.987900505954381,0.9959668353181269
n10_mult1.2000_s1043,10,1.2,0.941874081469642,0.6477548957793894,0.9827406609390427,0.9942468869796808
n10_mult1.2000_s1044,10,1.2,0.9718750638161349,0.6396162675044412,0.9999999999999998,1.0
n10_mult1.2000_s1045,10,1.2,0.9446812310699357,0.6469870367651833,1.0,1.0
n10_mult1.2000_s1046,10,1.2,0.9514078543112097,0.645152408286681,1.0,1.0000000000000002
n10_mult1.2000_s1047,10,1.2,0.9614795698176909,0.6424194868805961,0.9865520663124799,0.9955173554374933
n10_mult1.2000_s1048,10,1.2,0.9458900853961852,0.6466567761216051,0.8651247851534815,0.9471397653703914
n10_mult2.0000_s1049,10,2.0,0.895711524649597,0.6605732047058932,0.9399396618334258,0.9799798872778086
n10_mult2.0000_s1050,10,2.0,0.9745907425246584,0.638886887475387,0.9748911799931275,0.99078004908577
n10_mult2.0000_s1051,10,2.0,0.955417402770506,0.6440624190020038,0.9622222725847148,0.9871749234633342
n10_mult2.0000_s1052,10,2.0,0.9692458322233647,0.6403235806838278,0.9863803635725136,0.9954601211908378
n10_mult2.0000_s1053,10,2.0,0.9576716376586032,0.6434507797118125,1.0,1.0
n10_mult2.0000_s1054,10,2.0,0.9810402760626974,0.6371594933939713,0.9904258742904599,0.9942911951180585
n10_mult3.5000_s1055,10,3.5,0.9878357682495414,0.6353467653592684,1.0,1.0
n10_mult3.5000_s1056,10,3.5,0.9677425910637467,0.6407284907924988,0.998286246000998,0.9988883100093381
n10_mult3.5000_s1057,10,3.5,0.979889672394437,0.6374671652198219,0.9857698136058007,0.9923515258846966
n10_mult3.5000_s1058,10,3.5,0.9893445700166837,0.6349453018506928,1.0,1.0
n10_mult3.5000_s1059,10,3.5,0.9852836159887831,0.6360266843086665,0.9970475330600765,0.9988061917995227
n10_mult3.5000_s1060,10,3.5,0.9788094456480099,0.6377562145213932,0.9633983761431392,0.981558817720138
n10_mult6.0000_s1061,10,6.0,0.986761850794971,0.6356327390417109,0.9772612082531705,0.9891564778176414
n10_mult6.0000_s1062,10,6.0,0.9868790877777183,0.6356015108944426,0.9833329487270905,0.9941651971176029
n10_mult6.0000_s1063,10,6.0,0.9939747918021732,0.6337155859274151,1.0,1.0
n10_mult6.0000_s1064,10,6.0,0.991311747036929,0.6344224265864133,0.8625349590154645,0.9521415793024025
n10_mult6.0000_s1065,10,6.0,0.981154781191849,0.637128886475209,0.9897854872567085,0.9961792153121047
n10_mult6.0000_s1066,10,6.0,0.9913259234488874,0.6344186607694504,1.0000000000000002,1.0000000000000002
n10_mult12.0000_s1067,10,12.0,0.9975034139362102,0.6327807603299475,0.9951787819844172,0.9968216285988399
n10_mult12.0000_s1068,10,12.0,0.9930166750258114,0.6339697629443128,0.9923070876672686,0.9950418048528077
n10_mult12.0000_s1069,10,12.0,0.9946642354620365,0.6335327763126548,0.9895148945486316,0.9933389134646836
