topology,n,tau,mean_rho_mean,mean_rho_sem,susceptibility_mean,susceptibility_sem,realization
rr,600,0.250000000123242,0.22180486111111108,0.002525899235692904,3.141806501924131,0.422050654145722,1
rr,600,0.3245052109049517,0.40907476851851854,0.0021123287239855457,1.3749163412554872,0.07183186407434401,1
rr,600,0.4350801149840546,0.5549328703703703,0.001398566412990602,0.7352765424994123,0.020678926365104704,1
rr,600,0.5833333336208981,0.6579083333333333,0.0002698887453048541,0.46865839923061514,0.00963843482458026,1
rr,600,0.041666666666666664,0.0027993055555555553,0.00014149225475675313,3.643194551582908,2.6248611066101937,2
rr,600,0.05586455167801981,0.0034877314814814814,0.0006243308460616682,2.5311964167485295,1.4871226285474564,2
rr,600,0.0749003552204675,0.003226851851851852,0.0005706307276143373,2.49334309073723,1.9214811729057235,2
rr,600,0.09999999999999999,0.0040215277777777775,0.00048437024773838783,3.0659875241663577,2.1110067435310396,2
rr,600,0.10042259435798036,0.005002546296296296,0.0012974078333539687,3.995225591143481,2.6492386945741875,2
rr,600,0.12142857144707798,0.005950231481481481,0.000557928365793389,5.00115433927592,2.9024852697580634,2
rr,600,0.13464151709165315,0.006468518518518518,0.0005928004072338716,2.3678655588106254,0.1853862274034075,2
rr,600,0.14285714289415596,0.007332407407407407,0.00035823761761176584,3.027435117304326,0.36341934492769207,2
rr,600,0.16428571434123396,0.008298842592592592,0.0007168530014844824,2.9012012143412194,0.6258897962402319,2
rr,600,0.1805205117497675,0.013231018518518519,0.0009928258101386917,5.584064899282706,0.7470302440360888,2
rr,600,0.18571428578831195,0.014975231481481483,0.0019501158975896225,9.684967650645783,4.104191013244353,2
rr,600,0.20714285723538994,0.04293726851851852,0.004361141358820821,12.36688658447095,1.8187647203069988,2
rr,600,0.22857142868246794,0.13798564814814818,0.004321065527847664,6.3520231361511925,0.7494709272093385,2
rr,600,0.24203273898209932,0.19166226851851853,0.004065712490781771,4.052634678648995,0.2708330603585127,2
rr,600,0.25000000012954593,0.2211048611111111,0.0029961740286356593,3.5308077335724777,0.07010710020923556,2
rr,600,0.324505210911316,0.4110412037037037,0.0017734733810291468,1.278664672330881,0.0958525328949839,2
rr,600,0.4350801149938064,0.5551405092592593,0.0012885082615547775,0.7290479307866004,0.018686230699197746,2
rr,600,0.5833333336356072,0.6583840277777778,0.0008848503595244609,0.4680709888089994,0.017021324500104084,2
rr,1000,0.041666666666666664,0.0038062500000000006,0.0014563103671763335,18.206480751536198,7.9229614278541085,0
rr,1000,0.055864551677475276,0.0024945833333333335,0.0005023059672373224,8.389225412064203,4.4306677702903805,0
rr,1000,0.07490035521900734,0.0024909722222222225,0.0006544844661330512,3.8253410810548,2.7173034612350255,0
rr,1000,0.09999999999999999,0.002083888888888889,0.00016568941891108993,1.6251455201958742,0.7799461925014776,0
rr,1000,0.10042259435504378,0.0024372222222222226,0.0005611427842179166,4.527580898641011,3.8026279124820714,0
rr,1000,0.12142857144394491,0.003401111111111112,0.0002802112849218084,8.00019276060251,4.11638202225564,0
rr,1000,0.13464151708640357,0.004362361111111112,0.0005339565887145577,5.316119092411707,1.9430869221681057,0
rr,1000,0.1428571428878898,0.004145000000000001,0.00048489137980145763,6.3335386930960205,2.513988617448772,0
rr,1000,0.16428571433183473,0.00621,0.0003324636803704012,5.3748150677775115,0.7926038514375923,0
rr,1000,0.18052051174096953,0.0074845833333333335,0.001461611524907627,7.673470755646003,4.283274981664263,0
