n_vars,n_communities,alpha,mu,trial,n_clauses,satisfiable,hit_cap,decisions,backtracks,modularity_q,runtime_sec
80,4,3.7,0.33,12,296,1,0,24,0,0.4732063144225307,0.008188486099243164
80,4,3.7,0.33,13,296,1,0,21,17,0.47550422043665286,0.01330256462097168
80,4,3.7,0.33,14,296,1,0,63,96,0.5149211711711712,0.03901791572570801
80,4,3.7,0.33,15,296,1,0,14,2,0.5252287760733706,0.005948305130004883
80,4,3.7,0.33,16,296,1,0,513,993,0.4793822538754971,0.33845090866088867
80,4,3.7,0.33,17,296,1,0,48,72,0.46259181478776074,0.030180692672729492
80,4,3.7,0.33,18,296,1,0,25,15,0.5261266333901469,0.013749361038208008
80,4,3.7,0.33,19,296,1,0,401,775,0.5123341246652058,0.2908942699432373
80,4,3.7,0.33,20,296,1,0,70,114,0.5275266820874929,0.04811882972717285
80,4,3.7,0.33,21,296,1,0,22,11,0.5389807036766496,0.011355161666870117
80,4,3.7,0.33,22,296,1,0,82,139,0.5148425452479506,0.05119895935058594
80,4,3.7,0.33,23,296,1,0,18,13,0.49749665205746285,0.010747432708740234
80,4,3.7,0.33,24,296,1,0,324,622,0.4939686307929551,0.23009896278381348
80,4,3.9000000000000004,0.33,0,312,1,0,20,11,0.5023216633793557,0.011310815811157227
80,4,3.9000000000000004,0.33,1,312,0,0,359,718,0.5172697969172328,0.24301981925964355
80,4,3.9000000000000004,0.33,2,312,1,0,270,514,0.509809427277376,0.1875138282775879
80,4,3.9000000000000004,0.33,3,312,1,0,592,1159,0.5259012710935789,0.4056060314178467
80,4,3.9000000000000004,0.33,4,312,1,0,19,5,0.4928135729417781,0.009210824966430664
80,4,3.9000000000000004,0.33,5,312,1,0,271,519,0.4788972897947256,0.2201082706451416
80,4,3.9000000000000004,0.33,6,312,1,0,17,1,0.46540333479436036,0.007930278778076172
80,4,3.9000000000000004,0.33,7,312,1,0,73,112,0.5130739097085251,0.05055069923400879
80,4,3.9000000000000004,0.33,8,312,1,0,23,15,0.5304738293520345,0.012479305267333984
80,4,3.9000000000000004,0.33,9,312,1,0,37,56,0.5364069690992768,0.025894641876220703
80,4,3.9000000000000004,0.33,10,312,1,0,24,34,0.49271084447366503,0.017063617706298828
80,4,3.9000000000000004,0.33,11,312,1,0,20,3,0.49666931477828913,0.008579015731811523
80,4,3.9000000000000004,0.33,12,312,1,0,54,82,0.5086497370151216,0.036835432052612305
80,4,3.9000000000000004,0.33,13,312,1,0,50,67,0.4947791109650084,0.030806541442871094
80,4,3.9000000000000004,0.33,14,312,1,0,187,341,0.4885286543940389,0.13196945190429688
80,4,3.9000000000000004,0.33,15,312,0,0,204,408,0.48402458178099206,0.1399528980255127
