L,T,m_mean,m_std,chi_mean,chi_std,c_mean,c_std,u4_mean,u4_std,e_mean,e_std
64,2.153846,0.8321660156249999,0.0030857101211798827,1.994429796071667,0.5058207536940639,1.1892165628978049,0.06339709600084001,0.6647435136976058,0.00046014817914819363,-1.6049116210937497,0.0021516989903591056
64,2.180769,0.8080258178710937,0.0012168808980009176,2.8998626224470985,0.5133070771205337,1.3107509176590078,0.05903589531826923,0.6637114703875328,0.0004353653309347094,-1.57256884765625,0.0010363289003049647
64,2.207692,0.7742598266601561,0.007163015631010217,5.972218836955645,2.5139235910437514,1.4818063513571542,0.13140780896397727,0.6603765928567624,0.0023847995841723684,-1.5361757812499999,0.003166308606550733
64,2.234615,0.719814208984375,0.020960152515722568,13.018975994682936,7.220049679190479,1.7028732588454507,0.14852310510203973,0.6514466683843363,0.008411262059175029,-1.492261962890625,0.006056137644706793
64,2.261538,0.6375647583007813,0.05158692910417588,33.34100643205349,24.53858133018407,2.105274585393742,0.3647005595556463,0.6218064399503931,0.03494410996664314,-1.4424670410156248,0.010348653688380005
64,2.288462,0.44560968017578123,0.01720877373139679,84.77509355594763,15.30011739263899,2.3006311168430225,0.18903283853820152,0.4945300432348917,0.03292750167303943,-1.373777587890625,0.0017701255524551999
64,2.315385,0.31737390136718746,0.0520178224376458,61.83187904361452,7.0559271981939595,1.7415968023312645,0.11407581912940867,0.36031087152733515,0.10983599288939083,-1.3179000244140624,0.005239020997283162
64,2.342308,0.26935150146484377,0.04599936688883323,43.356443903169364,6.7882442788571575,1.5092734378895911,0.17632818037668294,0.3349046186024452,0.08140274400495445,-1.2797838134765624,0.0071281750897173885
64,2.369231,0.18673034667968752,0.021480540566984233,30.891296837160134,5.499959957716396,1.2995730346481777,0.05091581203790143,0.17861862279326787,0.06203904016396545,-1.2396270751953125,0.0026382106685713925
64,2.396154,0.17428137207031252,0.009461437197182893,26.799401451338056,2.8836270394645735,1.2242061091895529,0.047176045346748206,0.1075098818840329,0.04557993002982438,-1.2103531494140625,0.0012648770217807707
64,2.423077,0.13777471923828127,0.009639360421235003,18.106551810727566,2.5175518181479344,1.0608174030885815,0.02333314321640579,0.09846992178350208,0.05037845517674463,-1.1794761962890625,0.003035508387008353
64,2.45,0.126313232421875,0.009268740633537309,13.349868087631538,0.9102171989795412,0.9689423407971286,0.03845697709252445,0.14224895153093217,0.06083492423650847,-1.1524290771484376,0.0017600306227780354
64,2.56,0.08388067626953125,0.0017069116578885162,6.364502703976631,0.5766983738238751,0.7761529804393649,0.01936848067633257,0.035080213996493775,0.05961993348997336,-1.0574969482421874,0.0009152350037817098
64,2.67,0.06421868896484376,0.0010062747190383219,3.5450528147265254,0.11547992638557511,0.64819640043931,0.01575520488402859,0.03145075647975121,0.07637388909522784,-0.9818631591796875,0.000505227699760663
64,2.78,0.0552470703125,0.0012816970905769752,2.530816782779831,0.19635020891277316,0.5214884683137034,0.03169490313416668,0.019036969192959274,0.046019698983124496,-0.9187626953125,0.0007111376805441237
64,2.89,0.0482225341796875,0.0017097277741036903,1.8921164948671336,0.15719398706607604,0.4652636012235602,0.013780294954638391,0.007081909290251098,0.03655719336523825,-0.8648277587890625,0.0006050804985300169
64,3.0,0.04185198974609375,0.0009525164768309486,1.3951013164265953,0.04385093445149144,0.40761786108398435,0.008324301810387593,-0.03423811272680316,0.025897157755111453,-0.8178902587890625,0.000743607888549216
